Queue rank,Evidence tier,Business,Category,City,State,Phone,Email,Rating,Reviews,Current primary offer,Website score,Website status,Google verification link,Exact Google Maps link,Verify before pitch,Data freshness,Source(s),Contact name,Contact title,Status,Notes
11,Website lead - recheck today,"Yuma Overhead Door Co., Inc",garage door repair,Yuma,AZ,'+19283443445,,4.3,31,Website,85,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Yuma%20Overhead%20Door%20Co.%2C%20Inc&query_place_id=ChIJ8-PsBI_11oARXRVUurqh54Q,https://www.google.com/maps/search/?api=1&query=Yuma%20Overhead%20Door%20Co.%2C%20Inc&query_place_id=ChIJ8-PsBI_11oARXRVUurqh54Q,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
12,Website lead - recheck today,Jay's Lawns LLC,landscaper,Scottsdale,AZ,'+14802263912,,5,28,Website,85,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Jay's%20Lawns%20LLC&query_place_id=ChIJJY0AYOULK4cRCwFu0iVv4w4,https://www.google.com/maps/search/?api=1&query=Jay's%20Lawns%20LLC&query_place_id=ChIJJY0AYOULK4cRCwFu0iVv4w4,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
13,Website lead - recheck today,Sidewinder Garage Door Service LLC,garage door repair,Peoria,AZ,'+16023990787,,5,26,Website,85,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Sidewinder%20Garage%20Door%20Service%20LLC&query_place_id=ChIJ5yY2m62ef4IRZFEMsIaNqEM,https://www.google.com/maps/search/?api=1&query=Sidewinder%20Garage%20Door%20Service%20LLC&query_place_id=ChIJ5yY2m62ef4IRZFEMsIaNqEM,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026,,,,
14,Website lead - recheck today,Access Garage Door Repair,garage door repair,Scottsdale,AZ,'+14809926115,,4.8,21,Website,81,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Access%20Garage%20Door%20Repair&query_place_id=ChIJrexQctJbK4cRuE352aNS1dE,https://www.google.com/maps/search/?api=1&query=Access%20Garage%20Door%20Repair&query_place_id=ChIJrexQctJbK4cRuE352aNS1dE,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,
15,Website lead - recheck today,Your Mama's Cleaning Service,house cleaning,Yuma,AZ,'+19283446243,,4.8,21,Website,81,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Your%20Mama's%20Cleaning%20Service&query_place_id=ChIJu6m6RQFf1oARqUV471JSOqo,https://www.google.com/maps/search/?api=1&query=Your%20Mama's%20Cleaning%20Service&query_place_id=ChIJu6m6RQFf1oARqUV471JSOqo,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
16,Website lead - recheck today,AquaSafe Carpet and Tile Cleaning,tile and grout cleaning,Yuma,AZ,'+19287502560,,4.8,20,Website,81,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=AquaSafe%20Carpet%20and%20Tile%20Cleaning&query_place_id=ChIJ2TwipQf21oARTP9fp33XJ5k,https://www.google.com/maps/search/?api=1&query=AquaSafe%20Carpet%20and%20Tile%20Cleaning&query_place_id=ChIJ2TwipQf21oARTP9fp33XJ5k,Current search on 2026-07-20 surfaced active profiles; the historical owned domain no longer resolves. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
17,Website lead - recheck today,Lightning Sprinkler and Lighting Repair,irrigation repair,Phoenix,AZ,'+16028147774,,5,18,Website,81,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Lightning%20Sprinkler%20and%20Lighting%20Repair&query_place_id=ChIJo1GPBKBtK4cRUY6qmpw2P3w,https://www.google.com/maps/search/?api=1&query=Lightning%20Sprinkler%20and%20Lighting%20Repair&query_place_id=ChIJo1GPBKBtK4cRUY6qmpw2P3w,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
18,Website lead - recheck today,CITY2CITY LANDSCAPING AZ LLC,landscaper,Glendale,AZ,'+14805098107,,4.8,18,Website,81,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=CITY2CITY%20LANDSCAPING%20AZ%20LLC&query_place_id=ChIJY4De4I2XCiYRd2nXDwAN1Ho,https://www.google.com/maps/search/?api=1&query=CITY2CITY%20LANDSCAPING%20AZ%20LLC&query_place_id=ChIJY4De4I2XCiYRd2nXDwAN1Ho,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
19,Website lead - recheck today,Turbo Appliance Repair,appliance repair,Peoria,AZ,'+16029892944,,5,16,Website,81,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Turbo%20Appliance%20Repair&query_place_id=ChIJH2iBJ3VpK4cRh9-Wpm03PPo,https://www.google.com/maps/search/?api=1&query=Turbo%20Appliance%20Repair&query_place_id=ChIJH2iBJ3VpK4cRh9-Wpm03PPo,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
20,Website lead - recheck today,#Thecleanupwoman LLC.,house cleaning,Flagstaff,AZ,'+19286073635,,4.8,16,Website,81,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=%23Thecleanupwoman%20LLC.&query_place_id=ChIJKSb_oWyPLYcRXEUH5Spdv6Q,https://www.google.com/maps/search/?api=1&query=%23Thecleanupwoman%20LLC.&query_place_id=ChIJKSb_oWyPLYcRXEUH5Spdv6Q,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
21,Website lead - recheck today,Cj's Landscaping,landscaper,Tempe,AZ,'+14806487841,,5,12,Website,81,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Cj's%20Landscaping&query_place_id=ChIJZUuukZEJK4cRyrmFiIobT1c,https://www.google.com/maps/search/?api=1&query=Cj's%20Landscaping&query_place_id=ChIJZUuukZEJK4cRyrmFiIobT1c,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
22,Website lead - recheck today,Affordable Pool Services,pool service,Tucson,AZ,'+15205511697,,4.6,11,Website,81,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=Affordable%20Pool%20Services&query_place_id=ChIJH3lqbtBm1oYRv89gMdOSMYc,https://www.google.com/maps/search/?api=1&query=Affordable%20Pool%20Services&query_place_id=ChIJH3lqbtBm1oYRv89gMdOSMYc,Current search on 2026-07-20 surfaced active directories; the historical .tk domain no longer resolves. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
23,Website lead - recheck today,ProLine Irrigation LLC,irrigation repair,Yuma,AZ,'+19285022545,,5,9,Website,77,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=ProLine%20Irrigation%20LLC&query_place_id=ChIJ__hsSaEd1IsRsMy8EluV2vg,https://www.google.com/maps/search/?api=1&query=ProLine%20Irrigation%20LLC&query_place_id=ChIJ__hsSaEd1IsRsMy8EluV2vg,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
24,Website lead - recheck today,Curiel Garage Doors,garage door repair,Yuma,AZ,'+19283040086,,5,7,Website,77,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Curiel%20Garage%20Doors&query_place_id=ChIJFaOa4gG37y0RWSCIE_wwO6U,https://www.google.com/maps/search/?api=1&query=Curiel%20Garage%20Doors&query_place_id=ChIJFaOa4gG37y0RWSCIE_wwO6U,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
25,Website lead - recheck today,Lopez Appliance Service,appliance repair,Flagstaff,AZ,'+19282261721,,5,2,Website,77,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=Lopez%20Appliance%20Service&query_place_id=ChIJ1TZIZSePLYcRFJweSXbTAPA,https://www.google.com/maps/search/?api=1&query=Lopez%20Appliance%20Service&query_place_id=ChIJ1TZIZSePLYcRFJweSXbTAPA,Current search on 2026-07-20 surfaced current directory listings but no owned website. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
26,Verify website first,My Neighbors Appliance Repair,appliance repair,Phoenix,AZ,'+14802990537,,4.8,130,Research First,94,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=My%20Neighbors%20Appliance%20Repair&query_place_id=ChIJ52xMLAMTK4cRt3gRgermqFY,https://www.google.com/maps/search/?api=1&query=My%20Neighbors%20Appliance%20Repair&query_place_id=ChIJ52xMLAMTK4cRt3gRgermqFY,Current sources show conflicting phone/location signals and reputation complaints; verify identity and fit before any pitch.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
27,Verify website first,Colin's Tree Trimming and Removal,Tree service,Phoenix,AZ,'+1 480-262-4724,,4.9,83,Research First,70,No website in vendor source · manual check required,"https://www.google.com/maps/place/Colin%27s+Tree+Trimming+and+Removal/@33.8229481,-112.09833379999999,14z/data=!4m8!1m2!2m1!1sColin%27s+Tree+Trimming+and+Removal!3m4!1s0x872b6339d6b35539:0x3a2ecb3c862951eb!8m2!3d33.8229481!4d-112.09833379999999","https://www.google.com/maps/place/Colin%27s+Tree+Trimming+and+Removal/@33.8229481,-112.09833379999999,14z/data=!4m8!1m2!2m1!1sColin%27s+Tree+Trimming+and+Removal!3m4!1s0x872b6339d6b35539:0x3a2ecb3c862951eb!8m2!3d33.8229481!4d-112.09833379999999",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,,
28,Verify website first,Arborzona Tree Service,Tree service,Phoenix,AZ,'+1 623-363-6941,,4.8,50,Research First,70,No website in vendor source · manual check required,"https://www.google.com/maps/place/Arborzona+Tree+Service/@33.5058363,-112.2564592,14z/data=!4m8!1m2!2m1!1sArborzona+Tree+Service!3m4!1s0x872b41cef9da5279:0xdb20ead0602a2769!8m2!3d33.5058363!4d-112.2564592","https://www.google.com/maps/place/Arborzona+Tree+Service/@33.5058363,-112.2564592,14z/data=!4m8!1m2!2m1!1sArborzona+Tree+Service!3m4!1s0x872b41cef9da5279:0xdb20ead0602a2769!8m2!3d33.5058363!4d-112.2564592",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,,
29,Verify website first,Tim Garage Door Repair,Garage door service,Cave Creek,AZ,(602) 773-7223,,5,47,Research First,85,Website build candidate · no site in source,https://maps.google.com/?cid=7851267213418626222&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=7851267213418626222&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
30,Verify website first,Harmony Garage Door's Systems and Repair,Garage door service,Chandler,AZ,(480) 245-5438,,4.9,33,Reviews,85,Website build candidate · no site in source,https://maps.google.com/?cid=5771337643707405678&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=5771337643707405678&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
