Research rank,Callable rank,Existing cockpit record,Business,Category,City / service area,State,Phone,Email,Paid channel(s),Paid-signal confidence,Paid evidence,Platform response / demand,Recommended first conversation,Why this angle,Google profile status,Google rating,Google reviews,Google Maps,Google search,Website status,Website,Platform profile(s),Evidence page(s),Observed,Cockpit lead ID,Match method,Possible existing IDs,Status,Notes
11,11,Existing cockpit record · enriched in place,ACTION Termite and Pest Control,pest control,Scottsdale,AZ,'+14809457378,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),,Reviews,"Angi shows paid lead activity; Google currently shows 57 reviews at 5.0, creating a concrete reputation-system conversation.",Current Google profile matched,5,57,https://www.google.com/maps/search/?api=1&query=ACTION%20Termite%20and%20Pest%20Control&query_place_id=ChIJZ2_0Idt1K4cR2s3GkLiG78c,https://www.google.com/maps/search/?api=1&query=ACTION%20Termite%20%26%20Pest%20Control%20Arizona,Basic website checks pass,https://www.actiontermitecontrol.com/scottsdale/,,https://www.angi.com/companylist/us/az/phoenix/pest-control.htm | https://www.angi.com/companylist/us/az/tucson/pest-control.htm,2026-07-22,place-ChIJZ2_0Idt1K4cR2s3GkLiG78c,Exact phone/place/domain/name + service-area match,,,
12,12,Existing cockpit record · enriched in place,Desert Spring Garage Door Repair,Garage door service,Phoenix,AZ,(602) 694-3212,drew@hngr8.com,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 10 recent quote requests,Reviews,"Angi shows paid lead activity; Google currently shows 28 reviews at 5.0, creating a concrete reputation-system conversation.",Current Google profile matched,5,28,https://maps.google.com/?cid=17406728300688316682&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.google.com/maps/search/?api=1&query=DESERT%20SPRING%20GARAGE%20DOOR%20REPAIR%20LLC%20Arizona,Basic website checks pass,https://desertspringgarage.com/,,https://www.angi.com/companylist/us/az/phoenix/garage-doors.htm,2026-07-22,phone-6026943212,Exact normalized business-name match,,,
13,13,Existing cockpit record · enriched in place,Parker & Sons,hvac contractor,Phoenix,AZ,'+16024249619,,Google Local Services,Confirmed paid,Google Local Services: Active lead-platform signal (Confirmed paid) | Google Local Services: Active lead-platform signal (Confirmed paid),,Lead recovery,"Google Local Services shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.7,34252,https://www.google.com/maps/search/?api=1&query=Parker%20%26%20Sons&query_place_id=ChIJh9Zo0KoPK4cRzTwhKAxIE8s,https://www.google.com/maps/search/?api=1&query=Parker%20%26%20Sons&query_place_id=ChIJh9Zo0KoPK4cRzTwhKAxIE8s,Website listed · not audited,https://www.parkerandsons.com/,,https://www.google.com/search?q=plumber+phoenix+az | https://www.google.com/search?q=air+conditioning+repair+tucson+az,2026-07-21,place-ChIJh9Zo0KoPK4cRzTwhKAxIE8s,Exact phone/place/domain/name + service-area match,,,
14,14,Existing cockpit record · enriched in place,"Day & Night Air Conditioning, Heating, & Plumbing",hvac contractor,Phoenix,AZ,'+16025847758,glfjunky72@msn.com,Google Local Services,Confirmed paid,Google Local Services: Active lead-platform signal (Confirmed paid),,Lead recovery,"Google Local Services shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,9652,https://www.google.com/maps/search/?api=1&query=Day%20%26%20Night%20Air%20Conditioning%2C%20Heating%2C%20%26%20Plumbing&query_place_id=ChIJmaAujXcNK4cRhAXQO7SXvGw,https://www.google.com/maps/search/?api=1&query=Day%20%26%20Night%20Air%20Conditioning%2C%20Heating%2C%20%26%20Plumbing&query_place_id=ChIJmaAujXcNK4cRhAXQO7SXvGw,Website listed · not audited,https://www.dayandnightair.com/,,https://www.google.com/search?q=plumber+phoenix+az,2026-07-21,place-ChIJmaAujXcNK4cRhAXQO7SXvGw,Exact phone/place/domain/name + service-area match,,,
15,15,Existing cockpit record · enriched in place,Goody Garage Doors,Garage door service,Mesa,AZ,(480) 409-7569,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 12 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,6176,https://maps.google.com/?cid=9145672913263740442&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.google.com/maps/search/?api=1&query=Goody%20Garage%20Doors%20Arizona,Basic website checks pass,https://goodygaragedoors.com/,,https://www.angi.com/companylist/us/az/phoenix/garage-doors.htm,2026-07-22,phone-4804097569,Exact normalized business-name match,,,
16,16,Existing cockpit record · enriched in place,Green Mango Pest Control - Chandler,pest control,Chandler,AZ,'+14807178174,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,4489,https://www.google.com/maps/search/?api=1&query=Green%20Mango%20Pest%20Control%20-%20Chandler&query_place_id=ChIJJ8WmUIOrK4cRHp9bql0CT98,https://www.google.com/maps/search/?api=1&query=Green%20Mango%20Pest%20Control%20Arizona,Website listed · not audited,https://greenmangopest.com/,,https://www.angi.com/companylist/us/az/phoenix/pest-control.htm,2026-07-22,place-ChIJJ8WmUIOrK4cRHp9bql0CT98,Reviewed cross-platform identity match,,,
17,17,Existing cockpit record · enriched in place,Al Coronado Plumbing,plumber,Tucson,AZ,'+15202785780,,Yelp,Confirmed paid,Yelp: Sponsored result (Confirmed paid),Yelp · response 10 mins,Lead recovery,"Yelp shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,2798,https://www.google.com/maps/search/?api=1&query=Al%20Coronado%20Plumbing&query_place_id=ChIJYW170Ttx1oYRHf2_1f1OEQo,https://www.google.com/maps/search/?api=1&query=Al%20Coronado%20Plumbing&query_place_id=ChIJYW170Ttx1oYRHf2_1f1OEQo,Website listed · not audited,https://alcoronadoplumbing.com/tucson-emergency-plumber/,https://www.yelp.com/biz/al-coronado-plumbing-tucson,https://www.yelp.com/search?find_desc=Plumbers&find_loc=Tucson%2C%20AZ,2026-07-21,place-ChIJYW170Ttx1oYRHf2_1f1OEQo,Exact phone/place/domain/name + service-area match,,,
18,18,Existing cockpit record · enriched in place,Canyon State Service Experts,hvac contractor,Surprise,AZ,'+16028444104,,Google Search Ads,Confirmed paid,Google Search Ads: Active lead-platform signal (Confirmed paid),,Lead recovery,"Google Search Ads shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,2500,https://www.google.com/maps/search/?api=1&query=Canyon%20State%20Service%20Experts&query_place_id=ChIJg6EoJUhbK4cRgyFn6sg-jI8,https://www.google.com/maps/search/?api=1&query=Canyon%20State%20Service%20Experts%20Surprise%20AZ,Website listed · not audited,https://www.serviceexperts.com/surprise-az/,,https://www.google.com/search?q=plumber+phoenix+az,2026-07-21,place-ChIJg6EoJUhbK4cRgyFn6sg-jI8,Reviewed cross-platform identity match,,,
19,19,Existing cockpit record · enriched in place,Arizona Pest Control,pest control,Tucson,AZ,'+15208867378,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 1 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,2444,https://www.google.com/maps/search/?api=1&query=Arizona%20Pest%20Control&query_place_id=ChIJ96_P46tv1oYR6hhfGp-MvLA,https://www.google.com/maps/search/?api=1&query=Arizona%20Pest%20Control%20Arizona,Website listed · not audited,https://www.azpest.com/,,https://www.angi.com/companylist/us/az/tucson/pest-control.htm,2026-07-22,place-ChIJ96_P46tv1oYR6hhfGp-MvLA,Exact phone/place/domain/name + service-area match,,,
20,20,Existing cockpit record · enriched in place,ASAP Plumbing,plumber,Tempe,AZ,'+14809331511,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 50 mins · 104 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.7,2263,https://www.google.com/maps/search/?api=1&query=ASAP%20Plumbing&query_place_id=ChIJJxonw86pK4cRVg0jV5-sgOo,https://www.google.com/maps/search/?api=1&query=ASAP%20Plumbing%20Arizona,Website listed · not audited,https://asapplumbingaz.com/,,https://www.angi.com/companylist/us/az/casa-grande/plumbing.htm,2026-07-22,place-ChIJJxonw86pK4cRVg0jV5-sgOo,Exact normalized business-name match,,,
21,21,Existing cockpit record · enriched in place,Bulwark Exterminating,pest control,Mesa,AZ,'+14809697474,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,2085,https://www.google.com/maps/search/?api=1&query=Bulwark%20Exterminating&query_place_id=ChIJLwiR5oGoK4cRo5-JJrfisO8,https://www.google.com/maps/search/?api=1&query=Bulwark%20Exterminating%2C%20LLC%20Arizona,Website listed · not audited,https://www.bulwarkpestcontrol.com/locations/mesa/?loc=mesa,,https://www.angi.com/companylist/us/az/tucson/pest-control.htm,2026-07-22,place-ChIJLwiR5oGoK4cRo5-JJrfisO8,Exact normalized business-name match,,,
22,22,Existing cockpit record · enriched in place,Reddi Services,plumber,Peoria,AZ,'+16027893910,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 1 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,1644,https://www.google.com/maps/search/?api=1&query=Reddi%20Services&query_place_id=ChIJDzqZK2wTK4cRlZMUQs3kPEA,https://www.google.com/maps/search/?api=1&query=Reddi%20Services%20Arizona,Website listed · not audited,https://www.reddiservices.com/,,https://www.angi.com/companylist/us/az/casa-grande/plumbing.htm,2026-07-22,place-ChIJDzqZK2wTK4cRlZMUQs3kPEA,Exact normalized business-name match,,,
23,23,Existing cockpit record · enriched in place,Lawson Family Plumbing Inc.,plumber,Gilbert,AZ,'+16024135790,,Yelp,Confirmed paid,Yelp: Sponsored result (Confirmed paid),Yelp · response 10 mins,Lead recovery,"Yelp shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,1576,https://www.google.com/maps/search/?api=1&query=Lawson%20Family%20Plumbing%20Inc.&query_place_id=ChIJ7QC4ee6xK4cRMQUyA1V3coI,https://www.google.com/maps/search/?api=1&query=Lawson%20Family%20Plumbing%20Inc.&query_place_id=ChIJ7QC4ee6xK4cRMQUyA1V3coI,Website listed · not audited,https://lawsonfamilyplumbing.com/,https://www.yelp.com/biz/lawson-family-plumbing-gilbert-5,https://www.yelp.com/search?find_desc=Plumbers&find_loc=Phoenix%2C%20AZ,2026-07-21,place-ChIJ7QC4ee6xK4cRMQUyA1V3coI,Exact phone/place/domain/name + service-area match,,,
24,24,Existing cockpit record · enriched in place,Hansen Family Plumbing & Air,plumber,Mesa,AZ,'+16028054836,,Yelp,Confirmed paid,Yelp: Sponsored result (Confirmed paid),Yelp · response 10 mins,Lead recovery,"Yelp shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,1427,https://www.google.com/maps/search/?api=1&query=Hansen%20Family%20Plumbing%20%26%20Air&query_place_id=ChIJbTe8jCkHK4cR70K7PKKg1u8,https://www.google.com/maps/search/?api=1&query=Hansen%20Family%20Plumbing%20%26%20Air&query_place_id=ChIJbTe8jCkHK4cR70K7PKKg1u8,Website listed · not audited,https://hansenfamilyplumbing.com/,https://www.yelp.com/biz/hansen-family-mesa-3,https://www.yelp.com/search?find_desc=Plumbers&find_loc=Phoenix%2C%20AZ,2026-07-21,place-ChIJbTe8jCkHK4cR70K7PKKg1u8,Reviewed business-name alias match,,,
25,25,Existing cockpit record · enriched in place,Desert Water Plumbing and Rooter,plumber,Peoria,AZ,'+16026412998,,Yelp,Confirmed paid,Yelp: Sponsored result (Confirmed paid),Yelp · response 10 mins,Lead recovery,"Yelp shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,5,1148,https://www.google.com/maps/search/?api=1&query=Desert%20Water%20Plumbing%20and%20Rooter&query_place_id=ChIJVVXlGG-dLIcRqEyN_RegCXQ,https://www.google.com/maps/search/?api=1&query=Desert%20Water%20Plumbing%20and%20Rooter&query_place_id=ChIJVVXlGG-dLIcRqEyN_RegCXQ,Website listed · not audited,https://www.desertwateraz.com/near-me-plumber-peoria-az/,https://www.yelp.com/biz/desert-water-plumbing-and-rooter-peoria-2,https://www.yelp.com/search?find_desc=Plumbers&find_loc=Phoenix%2C%20AZ,2026-07-21,place-ChIJVVXlGG-dLIcRqEyN_RegCXQ,Exact phone/place/domain/name + service-area match,,,
26,26,Existing cockpit record · enriched in place,Dirt Busters House Cleaning,house cleaning,Peoria,AZ,'+15202314397,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 1 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,1141,https://www.google.com/maps/search/?api=1&query=Dirt%20Busters%20House%20Cleaning&query_place_id=ChIJf3jwYCZCK4cRulZ1sHqbQuo,https://www.google.com/maps/search/?api=1&query=Dirt%20Busters%20House%20Cleaning%20Arizona,Website listed · not audited,https://bookdirtbusters.com/,,https://www.angi.com/companylist/us/az/phoenix/house-cleaning.htm,2026-07-22,place-ChIJf3jwYCZCK4cRulZ1sHqbQuo,Exact normalized business-name match,,,
27,27,Existing cockpit record · enriched in place,Reimagine Roofing,Roofing contractor,Phoenix,AZ,'+1 480-900-7663,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 309 recent quote requests | Angi · 304 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,853,"https://www.google.com/maps/place/Reimagine+Roofing/@33.474471,-111.719127,14z/data=!4m8!1m2!2m1!1sReimagine+Roofing!3m4!1s0x872ba502262b3735:0x6918ffeb779e5233!8m2!3d33.474471!4d-111.719127","https://www.google.com/maps/place/Reimagine+Roofing/@33.474471,-111.719127,14z/data=!4m8!1m2!2m1!1sReimagine+Roofing!3m4!1s0x872ba502262b3735:0x6918ffeb779e5233!8m2!3d33.474471!4d-111.719127",Live,https://www.reimagineroofing.com/,,https://www.angi.com/companylist/us/az/sierra-vista/roofing.htm | https://www.angi.com/companylist/us/az/casa-grande/roofing.htm,2026-07-22,phone-4809007663,Reviewed cross-platform identity match,,,
28,28,Existing cockpit record · enriched in place,Ambiance Pool Service,pool service,Tucson,AZ,'+15204259186,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 86%,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,651,https://www.google.com/maps/search/?api=1&query=Ambiance%20Pool%20Service&query_place_id=ChIJ8bLTE8tz1oYRN7Sn9qRiuCo,https://www.google.com/maps/search/?api=1&query=Ambiance%20Pool%20Service%20and%20Supplies%20Arizona,Website listed · not audited,https://ambiancepoolservice.com/,,https://www.angi.com/companylist/us/az/tucson/pool-and-spa-service.htm,2026-07-22,place-ChIJ8bLTE8tz1oYRN7Sn9qRiuCo,Reviewed cross-platform identity match,,,
29,29,Existing cockpit record · enriched in place,Varsity Termite and Pest Control,pest control,Mesa,AZ,'+16027578252,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 10 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,565,https://www.google.com/maps/search/?api=1&query=Varsity%20Termite%20and%20Pest%20Control&query_place_id=ChIJ6TfE3k2uK4cR91P2i5GNZOk,https://www.google.com/maps/search/?api=1&query=Varsity%20Termite%20and%20Pest%20Control%20Arizona,Website listed · not audited,https://www.varsitytermiteandpestcontrol.com/,,https://www.angi.com/companylist/us/az/phoenix/pest-control.htm,2026-07-22,place-ChIJ6TfE3k2uK4cR91P2i5GNZOk,Exact normalized business-name match,,,
30,30,Existing cockpit record · enriched in place,Flush King Plumbing,plumber,Scottsdale,AZ,'+16026441950,info@flushkingplumbing.com,Yelp,Confirmed paid,Yelp: Sponsored result (Confirmed paid),Yelp · response 10 mins,Lead recovery,"Yelp shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.8,472,https://www.google.com/maps/search/?api=1&query=Flush%20King%20Plumbing&query_place_id=ChIJ36aZWc4TK4cRbgJ-FyroXmo,https://www.google.com/maps/search/?api=1&query=Flush%20King%20Plumbing&query_place_id=ChIJ36aZWc4TK4cRbgJ-FyroXmo,Basic website checks pass,https://flushking.com/,https://www.yelp.com/biz/flush-king-plumbing-phoenix-3,https://www.yelp.com/search?find_desc=Plumbers&find_loc=Phoenix%2C%20AZ,2026-07-21,place-ChIJ36aZWc4TK4cRbgJ-FyroXmo,Exact normalized business-name match,,,
