Call order,Test lane,Primary offer,Business,Category,City,State,Phone,Email,Rating,Reviews,Primary score,Website score,Review score,AI fit score,Confidence,Observable reason,Selection note,Website status,Website,Google Maps,Verify before call,Data freshness,Source(s),Contact name,Contact title,Employee estimate,Revenue estimate,Status,Notes
21,AI Fit Call,AI Fit Call,AMS Landscaping,landscaper,Phoenix,AZ,'+16029440421,emarcopolus@azlawns.com,4.4,378,72,56,65,72,Medium,"Vendor data estimates 10 employees and $1M revenue, inside the screening range. Repetitive workflows are inferred—not verified—so ask for the highest-priority digital task before offering an assessment.",Qualification call only; workflow need is not yet proven.,Website listed · not audited,https://azlawns.com/,https://www.google.com/maps/search/?api=1&query=AMS%20Landscaping&query_place_id=ChIJNUBNfrsOK4cRAOpLRMHygys,Source record only; verify immediately before outreach.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9 | Tree-service Outscraper · May 15,eric marcopolus,vice president of marketing services,10,1000000,,
22,AI Fit Call,AI Fit Call,"Branch Management Tree Service, LLC",Tree service,Scottsdale,AZ,'+1 480-970-1315,sales@aztreedoctor.com,4.5,78,72,52,73,72,Medium,"Vendor data estimates 10 employees and $1M revenue, inside the screening range. Repetitive workflows are inferred—not verified—so ask for the highest-priority digital task before offering an assessment.",Qualification call only; workflow need is not yet proven.,Website listed · not live-audited,https://www.aztreedoctor.com/,"https://www.google.com/maps/place/Branch+Management+Tree+Service%2C+LLC/@33.521786999999996,-111.911158,14z/data=!4m8!1m2!2m1!1sBranch+Management+Tree+Service%2C+LLC!3m4!1s0x872b0b06a0b344b1:0x6e547820770ae708!8m2!3d33.521786999999996!4d-111.911158",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,David Schmidt,owner,10,1000000,,
23,AI Fit Call,AI Fit Call,"Lucas Lawn and Yard Care, LLC",Lawn care service,Phoenix,AZ,'+1 602-923-1312,angeloc@cdsinsuranceagency.com,4.3,67,72,52,78,72,Medium,"Vendor data estimates 10 employees and $1M revenue, inside the screening range. Repetitive workflows are inferred—not verified—so ask for the highest-priority digital task before offering an assessment.",Qualification call only; workflow need is not yet proven.,Website listed · not live-audited,http://lucaslawnandyard.com/,"https://www.google.com/maps/place/Lucas+Lawn+and+Yard+Care%2C+LLC/@33.6335294,-111.9902613,14z/data=!4m8!1m2!2m1!1sLucas+Lawn+and+Yard+Care%2C+LLC!3m4!1s0x872b718f10ae265d:0x3f0aac041c8cbe1d!8m2!3d33.6335294!4d-111.9902613",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,Angelo Cimato,vice president sales and marketing,10,1000000,,
24,AI Fit Call,AI Fit Call,Living Tree Service,Tree service,Mesa,AZ,'+1 480-218-0826,kimberly@livingtreeservice.com,4.9,154,69,53,57,69,Low,"Vendor data estimates 10 employees and $1M revenue, inside the screening range. Repetitive workflows are inferred—not verified—so ask for the highest-priority digital task before offering an assessment.",Qualification call only; workflow need is not yet proven.,Website listed · not live-audited,http://livingtreeservice.com/,"https://www.google.com/maps/place/Living+Tree+Service/@33.381313399999996,-111.7286048,14z/data=!4m8!1m2!2m1!1sLiving+Tree+Service!3m4!1s0x872bafeaa3dad7d5:0x789890156870cbc4!8m2!3d33.381313399999996!4d-111.7286048",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,10,1000000,,
25,AI Fit Call,AI Fit Call,PV Trimmers,Tree service,Phoenix,AZ,'+1 602-992-6212,dev4@ewscrm.com,4.8,68,69,49,67,69,Low,"Vendor data estimates 10 employees and $1M revenue, inside the screening range. Repetitive workflows are inferred—not verified—so ask for the highest-priority digital task before offering an assessment.",Qualification call only; workflow need is not yet proven.,Website listed · not live-audited,http://www.pvtrimmersphoenix.com/,"https://www.google.com/maps/place/PV+Trimmers/@33.5768729,-112.01417239999999,14z/data=!4m8!1m2!2m1!1sPV+Trimmers!3m4!1s0x872b72f0d010c1c1:0x3bdf933c719c1c3b!8m2!3d33.5768729!4d-112.01417239999999",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,10,1000000,,
26,AI Fit Call,AI Fit Call,Phoenix Tree Service Inc.,Tree service,Phoenix,AZ,6028662013,treehelp@rocketmail.com,4.1,10,69,40,92,69,Low,"Vendor data estimates 10 employees and $1M revenue, inside the screening range. Repetitive workflows are inferred—not verified—so ask for the highest-priority digital task before offering an assessment.",Qualification call only; workflow need is not yet proven.,Website listed · not live-audited,http://www.phxtreeservice.com/,"https://www.google.com/maps/place/Phoenix+Tree+Service+Inc./@33.6676621,-112.0836861,14z/data=!4m8!1m2!2m1!1sPhoenix+Tree+Service+Inc.!3m4!1s0x872b1079578696a7:0xf9c843da9e83587a!8m2!3d33.6676621!4d-112.0836861",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,10,1000000,,
27,AI Fit Call,AI Fit Call,Landscape Services-Az Angels Green,Lawn care service,Phoenix,AZ,'+1 602-687-2708,louisgarcia369@gmail.com,5,1,69,36,67,69,Low,"Vendor data estimates 10 employees and $1M revenue, inside the screening range. Repetitive workflows are inferred—not verified—so ask for the highest-priority digital task before offering an assessment.",Qualification call only; workflow need is not yet proven.,Website listed · not live-audited,http://www.azangelsgreen.com/,"https://www.google.com/maps/place/Landscape+Services-Az+Angels+Green/@33.609913999999996,-111.989173,14z/data=!4m8!1m2!2m1!1sLandscape+Services-Az+Angels+Green!3m4!1s0x872b73c81487834b:0x9ef700a0752eeae3!8m2!3d33.609913999999996!4d-111.989173",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,10,1000000,,
28,AI Fit Call — qualification only,Research First,"PROS Tree & Landscape, LLC",Tree service,Phoenix,AZ,'+1 602-216-0400,george@treepros.com,4.7,2190,64,56,54,64,Low,"The record lacks enough current, specific evidence for a responsible first pitch.",Backup screening call; keep the primary offer as Research First until the owner confirms a real workflow.,Website listed · not live-audited,https://treeprosaz.com/,"https://www.google.com/maps/place/PROS+Tree+%26+Landscape%2C+LLC/@33.4300974,-112.1210284,14z/data=!4m8!1m2!2m1!1sPROS+Tree+%26+Landscape%2C+LLC!3m4!1s0x872b6c506f9b2097:0x339526c840f51712!8m2!3d33.4300974!4d-112.1210284",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,George Olekszak,owner,50,1000000,,
29,AI Fit Call — qualification only,Research First,King's Tree Service,Tree service,Mesa,AZ,'+1 480-964-6758,bmcwh@kingstreeserviceaz.com,4.8,130,64,56,60,64,Low,"The record lacks enough current, specific evidence for a responsible first pitch.",Backup screening call; keep the primary offer as Research First until the owner confirms a real workflow.,Website listed · not live-audited,https://kingstreeserviceaz.com/,"https://www.google.com/maps/place/King%27s+Tree+Service/@33.403961599999995,-111.8367507,14z/data=!4m8!1m2!2m1!1sKing%27s+Tree+Service!3m4!1s0x872ba6e4930efc09:0xa6bd6b2b948a095c!8m2!3d33.403961599999995!4d-111.8367507",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,betty mcwhorter,chief executive officer,10,10000000,,
30,AI Fit Call — qualification only,Research First,Hayward Tree Service,Tree service,Phoenix,AZ,'+1 602-402-1378,info@haywardtreescapes.com,4.5,126,60,53,60,53,Low,"The record lacks enough current, specific evidence for a responsible first pitch.",Backup screening call; keep the primary offer as Research First until the owner confirms a real workflow.,Website listed · not live-audited,http://www.haywardtreeserviceaz.com/,"https://www.google.com/maps/place/Hayward+Tree+Service/@33.5358109,-112.11177049999999,14z/data=!4m8!1m2!2m1!1sHayward+Tree+Service!3m4!1s0x872b6f54153aacc1:0xaef3e29273027e57!8m2!3d33.5358109!4d-112.11177049999999",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,50,10000000,,
