Queue rank,Evidence tier,Business,Category,City,State,Phone,Email,Rating,Reviews,Current primary offer,Website score,Website status,Google verification link,Exact Google Maps link,Verify before pitch,Data freshness,Source(s),Contact name,Contact title,Status,Notes
31,Verify website first,Mayday Appliance LLC,appliance repair,Yuma,AZ,'+19283414000,,4.8,33,Research First,85,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Mayday%20Appliance%20LLC&query_place_id=ChIJqXaxHC5Z1oARDnvaownMDoU,https://www.google.com/maps/search/?api=1&query=Mayday%20Appliance%20LLC&query_place_id=ChIJqXaxHC5Z1oARDnvaownMDoU,Current directories conflict on whether the business is still operating. Confirm status before any outreach.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
42,Verify website first,BeehivepoolsLLC,Pool service,Maricopa,AZ,(520) 634-3350,,5,11,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=16267309479442457901&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=16267309479442457901&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
43,Verify website first,Diamond Garage Door Service,Garage door service,Phoenix,AZ,(623) 872-3667,,5,11,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=944664241403978810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=944664241403978810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,
44,Verify website first,Johnny Overhead Door Solutions,Garage door service,Glendale,AZ,(480) 605-0193,,5,11,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=5594109785355276141&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=5594109785355276141&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,
45,Verify website first,"REPAIR SERVICE NETWORK, LLC",Garage door service,Scottsdale,AZ,(602) 600-6011,,5,11,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=3612177213846402304&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=3612177213846402304&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
46,Verify website first,The Chandler Overhead Door Service,Garage door service,Chandler,AZ,(480) 914-3657,,4.8,11,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=9187369535391825239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=9187369535391825239&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
47,Verify website first,Blue Tide Pool Care,Pool service,Mesa,AZ,(602) 282-5843,,5,10,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=7674578459407530877&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=7674578459407530877&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
48,Verify website first,Trammel Crane Service,Crane service,Phoenix,AZ,'+1 602-448-7959,,4.6,10,Reviews,51,No website in vendor source · manual check required,"https://www.google.com/maps/place/Trammel+Crane+Service/@33.640119299999995,-112.01090909999999,14z/data=!4m8!1m2!2m1!1sTrammel+Crane+Service!3m4!1s0x872b719a6a7e68fd:0x2dd9a1b3189cc55c!8m2!3d33.640119299999995!4d-112.01090909999999","https://www.google.com/maps/place/Trammel+Crane+Service/@33.640119299999995,-112.01090909999999,14z/data=!4m8!1m2!2m1!1sTrammel+Crane+Service!3m4!1s0x872b719a6a7e68fd:0x2dd9a1b3189cc55c!8m2!3d33.640119299999995!4d-112.01090909999999",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,,
49,Verify website first,"Sunny Arizona Landscaping Services, Inc.",Landscaper,Phoenix,AZ,'+1 480-342-9000,,4.3,10,Reviews,61,No website in vendor source · manual check required,"https://www.google.com/maps/place/Sunny+Arizona+Landscaping+Services%2C+Inc./@33.6401081,-112.0235754,14z/data=!4m8!1m2!2m1!1sSunny+Arizona+Landscaping+Services%2C+Inc.!3m4!1s0x872b718a4591cb23:0x7192db19c6869690!8m2!3d33.6401081!4d-112.0235754","https://www.google.com/maps/place/Sunny+Arizona+Landscaping+Services%2C+Inc./@33.6401081,-112.0235754,14z/data=!4m8!1m2!2m1!1sSunny+Arizona+Landscaping+Services%2C+Inc.!3m4!1s0x872b718a4591cb23:0x7192db19c6869690!8m2!3d33.6401081!4d-112.0235754",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,,
50,Verify website first,Super Electric,Electrician,Phoenix,AZ,'+1 602-904-6842,,4.7,300,Research First,74,No website in source · manual check required,https://www.google.com/search?q=Super%20Electric%20Phoenix%20AZ%20%2B1%20602-904-6842,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
51,Verify website first,Ready Roofing AZ,Roofing contractor,Cave Creek,AZ,'+1 602-751-3114,,5,131,Research First,74,No website in source · manual check required,https://www.google.com/search?q=Ready%20Roofing%20AZ%20Cave%20Creek%20AZ%20%2B1%20602-751-3114,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
52,Verify website first,Vaughan Family Water Heaters,Plumber,Phoenix,AZ,'+1 602-353-7620,,4.7,131,Research First,74,No website in source · manual check required,https://www.google.com/search?q=Vaughan%20Family%20Water%20Heaters%20Phoenix%20AZ%20%2B1%20602-353-7620,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
53,Verify website first,Phoenix Best Electricians,Electrician,Phoenix,AZ,'+1 602-780-1140,,4.7,129,Research First,74,No website in source · manual check required,https://www.google.com/search?q=Phoenix%20Best%20Electricians%20Phoenix%20AZ%20%2B1%20602-780-1140,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
54,Verify website first,Express Roofing LLC,Roofing contractor,Mesa,AZ,'+1 480-226-4245,,4.9,116,Research First,74,No website in source · manual check required,https://www.google.com/search?q=Express%20Roofing%20LLC%20Mesa%20AZ%20%2B1%20480-226-4245,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
55,Verify website first,The Old School Paint Company LLC,Store,Phoenix,AZ,'+1 602-272-8501,,4.7,115,Research First,64,No website in source · manual check required,https://www.google.com/search?q=The%20Old%20School%20Paint%20Company%20LLC%20Phoenix%20AZ%20%2B1%20602-272-8501,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
56,Verify website first,E&S Painting Llc,Painter,Phoenix area - exact city unknown,AZ,'+1 602-692-5973,,4.9,105,Research First,74,No website in source · manual check required,https://www.google.com/search?q=E%26S%20Painting%20Llc%20AZ%20%2B1%20602-692-5973,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
57,Verify website first,Velox Air Inc.,Air conditioning contractor,Phoenix,AZ,'+1 602-717-2000,,4.3,94,Research First,70,No website in source · manual check required,https://www.google.com/search?q=Velox%20Air%20Inc.%20Phoenix%20AZ%20%2B1%20602-717-2000,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
58,Verify website first,Armando's Auto Electric And Mechanic LLC,Auto repair shop,Phoenix,AZ,'+1 602-278-5556,,4.1,94,Reviews,70,No website in source · manual check required,https://www.google.com/search?q=Armando's%20Auto%20Electric%20And%20Mechanic%20LLC%20Phoenix%20AZ%20%2B1%20602-278-5556,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
59,Verify website first,Crew Contracting & Roofing,Roofing contractor,Avondale,AZ,'+1 602-695-2827,,5,89,Research First,70,No website in source · manual check required,https://www.google.com/search?q=Crew%20Contracting%20%26%20Roofing%20Avondale%20AZ%20%2B1%20602-695-2827,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
60,Verify website first,Dynamic Air & Electric,Electrician,Peoria,AZ,'+1 602-832-0377,,5,83,Research First,70,No website in source · manual check required,https://www.google.com/search?q=Dynamic%20Air%20%26%20Electric%20Peoria%20AZ%20%2B1%20602-832-0377,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
61,Verify website first,AZ AIRCOND LLC -Cooling Heating Plumbing,Air conditioning repair service,Buckeye,AZ,'+1 623-882-4549,,4.8,78,Research First,60,No website in source · manual check required,https://www.google.com/search?q=AZ%20AIRCOND%20LLC%20-Cooling%20Heating%20Plumbing%20Buckeye%20AZ%20%2B1%20623-882-4549,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
62,Verify website first,Parra Painting LLC,Painting,Phoenix area - exact city unknown,AZ,'+1 602-756-5044,,5,75,Research First,70,No website in source · manual check required,https://www.google.com/search?q=Parra%20Painting%20LLC%20AZ%20%2B1%20602-756-5044,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
63,Verify website first,Encanto Auto Body & Paint,Auto body shop,Phoenix,AZ,'+1 602-228-1534,,4.9,71,Research First,60,No website in source · manual check required,https://www.google.com/search?q=Encanto%20Auto%20Body%20%26%20Paint%20Phoenix%20AZ%20%2B1%20602-228-1534,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
64,Verify website first,"General Electric Solutions, LLC",Electrician,Phoenix area - exact city unknown,AZ,'+1 602-203-0086,,5,68,Research First,70,No website in source · manual check required,https://www.google.com/search?q=General%20Electric%20Solutions%2C%20LLC%20AZ%20%2B1%20602-203-0086,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
65,Verify website first,GA Electrical llc,Electrician,Phoenix,AZ,'+1 602-491-3515,,4.8,65,Research First,70,No website in source · manual check required,https://www.google.com/search?q=GA%20Electrical%20llc%20Phoenix%20AZ%20%2B1%20602-491-3515,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
66,Verify website first,J and M Autobody Paint Supply,Paint store,Phoenix,AZ,'+1 602-276-6571,,4.9,62,Research First,70,No website in source · manual check required,https://www.google.com/search?q=J%20and%20M%20Autobody%20Paint%20Supply%20Phoenix%20AZ%20%2B1%20602-276-6571,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
67,Verify website first,Babcock Plumbing LLC,Plumber,Phoenix area - exact city unknown,AZ,'+1 480-425-3535,,4.8,49,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Babcock%20Plumbing%20LLC%20AZ%20%2B1%20480-425-3535,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
68,Verify website first,KM Electric,Electrician,Buckeye,AZ,'+1 480-818-5318,,5,48,Research First,65,No website in source · manual check required,https://www.google.com/search?q=KM%20Electric%20Buckeye%20AZ%20%2B1%20480-818-5318,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
69,Verify website first,Lawrence Electric Diversified Services,Electrician,Phoenix area - exact city unknown,AZ,'+1 623-341-1817,,5,48,Research First,65,No website in source · manual check required,https://www.google.com/search?q=Lawrence%20Electric%20Diversified%20Services%20AZ%20%2B1%20623-341-1817,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
70,Verify website first,A/C Service,Auto air conditioning service,Phoenix,AZ,'+1 602-276-0203,,4.4,48,Reviews,55,No website in source · manual check required,https://www.google.com/search?q=A%2FC%20Service%20Phoenix%20AZ%20%2B1%20602-276-0203,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
71,Verify website first,Gael Painting LLC,Pintor,Buckeye,AZ,'+1 602-339-4700,,4.8,46,Research First,55,No website in source · manual check required,https://www.google.com/search?q=Gael%20Painting%20LLC%20Buckeye%20AZ%20%2B1%20602-339-4700,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
72,Verify website first,Manny's Paint and Body Shop,Auto body shop,Phoenix,AZ,'+1 602-253-9457,,4.9,43,Reviews,55,No website in source · manual check required,https://www.google.com/search?q=Manny's%20Paint%20and%20Body%20Shop%20Phoenix%20AZ%20%2B1%20602-253-9457,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
73,Verify website first,Uncommon Paint Company,Painting,Phoenix area - exact city unknown,AZ,'+1 602-694-3487,,5,41,Research First,65,No website in source · manual check required,https://www.google.com/search?q=Uncommon%20Paint%20Company%20AZ%20%2B1%20602-694-3487,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
74,Verify website first,Dry Plus Roofing,Roofing contractor,Phoenix,AZ,'+1 602-493-2282,,4.8,41,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Dry%20Plus%20Roofing%20Phoenix%20AZ%20%2B1%20602-493-2282,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
75,Verify website first,Phoenix HVAC Air Conditioning,HVAC contractor,Phoenix,AZ,'+1 928-433-0801,,4.9,40,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Phoenix%20HVAC%20Air%20Conditioning%20Phoenix%20AZ%20%2B1%20928-433-0801,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
76,Verify website first,AC Air conditioning & Heating,HVAC contractor,Avondale,AZ,'+1 602-313-3802,,4.6,40,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=AC%20Air%20conditioning%20%26%20Heating%20Avondale%20AZ%20%2B1%20602-313-3802,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
77,Verify website first,United Air Cooling & Heating Phoenix,HVAC contractor,Phoenix,AZ,'+1 602-654-3522,,5,38,Research First,65,No website in source · manual check required,https://www.google.com/search?q=United%20Air%20Cooling%20%26%20Heating%20Phoenix%20Phoenix%20AZ%20%2B1%20602-654-3522,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
78,Verify website first,Triple M Electric,Electrical installation service,Phoenix,AZ,'+1 480-818-8126,,4.9,36,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Triple%20M%20Electric%20Phoenix%20AZ%20%2B1%20480-818-8126,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
79,Verify website first,Phoenix Plumbers & Drain Clean Services,Plumber,Phoenix,AZ,'+1 520-482-1068,,4.9,35,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Phoenix%20Plumbers%20%26%20Drain%20Clean%20Services%20Phoenix%20AZ%20%2B1%20520-482-1068,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
80,Verify website first,Capitol Plumbing & Rooter Inc,Plumber,Phoenix area - exact city unknown,AZ,'+1 602-620-6931,,4.5,35,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Capitol%20Plumbing%20%26%20Rooter%20Inc%20AZ%20%2B1%20602-620-6931,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
81,Verify website first,Reluxe Garage Door Services,Garage door supplier,Phoenix area - exact city unknown,AZ,'+1 480-660-4796,,5,34,Research First,65,No website in source · manual check required,https://www.google.com/search?q=Reluxe%20Garage%20Door%20Services%20AZ%20%2B1%20480-660-4796,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
82,Verify website first,Attention to Details Maintenance Co.,Painter,Surprise,AZ,'+1 623-332-2415,,5,33,Research First,65,No website in source · manual check required,https://www.google.com/search?q=Attention%20to%20Details%20Maintenance%20Co.%20Surprise%20AZ%20%2B1%20623-332-2415,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
83,Verify website first,Vertical Plumbing Goodyear,Plumber,Goodyear,AZ,'+1 877-514-5116,,5,33,Research First,65,No website in source · manual check required,https://www.google.com/search?q=Vertical%20Plumbing%20Goodyear%20Goodyear%20AZ%20%2B1%20877-514-5116,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
84,Verify website first,Evans Affordable Garage Door Repair,Garage door supplier,Phoenix area - exact city unknown,AZ,'+1 602-695-0899,,4.9,33,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Evans%20Affordable%20Garage%20Door%20Repair%20AZ%20%2B1%20602-695-0899,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
85,Verify website first,A Plus Electric Services,Electrician,Phoenix area - exact city unknown,AZ,'+1 602-429-0813,,4.8,33,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=A%20Plus%20Electric%20Services%20AZ%20%2B1%20602-429-0813,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
86,Verify website first,JJ’s Painting LLC.,Painter,Phoenix area - exact city unknown,AZ,'+1 623-227-5190,,4.8,33,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=JJ%E2%80%99s%20Painting%20LLC.%20AZ%20%2B1%20623-227-5190,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
87,Verify website first,Whitton Plumbing,Plumber,Phoenix area - exact city unknown,AZ,'+1 623-939-7473,,4.9,32,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Whitton%20Plumbing%20AZ%20%2B1%20623-939-7473,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
88,Verify website first,Phoenix Heating and Air Conditioning,Air conditioning repair service,Phoenix,AZ,'+1 602-364-9629,,4.8,32,Research First,55,No website in source · manual check required,https://www.google.com/search?q=Phoenix%20Heating%20and%20Air%20Conditioning%20Phoenix%20AZ%20%2B1%20602-364-9629,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
89,Verify website first,Arison Garage Doors LLC,Door supplier,Phoenix area - exact city unknown,AZ,'+1 602-910-9244,,5,31,Research First,55,No website in source · manual check required,https://www.google.com/search?q=Arison%20Garage%20Doors%20LLC%20AZ%20%2B1%20602-910-9244,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
90,Verify website first,Supreme Garage Door's I᠎nsta᠎llatio᠎n,Door supplier,Phoenix,AZ,'+1 602-492-9401,,5,30,Research First,55,No website in source · manual check required,https://www.google.com/search?q=Supreme%20Garage%20Door's%20I%E1%A0%8Ensta%E1%A0%8Ellatio%E1%A0%8En%20Phoenix%20AZ%20%2B1%20602-492-9401,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
91,Verify website first,Cr Electric,Electrician,Buckeye,AZ,'+1 602-503-6499,,4.9,30,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Cr%20Electric%20Buckeye%20AZ%20%2B1%20602-503-6499,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
92,Verify website first,Star Electric Phoenix,Electrician,Peoria,AZ,'+1 520-346-8935,,4.3,30,Reviews,65,No website in source · manual check required,https://www.google.com/search?q=Star%20Electric%20Phoenix%20Peoria%20AZ%20%2B1%20520-346-8935,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
93,Verify website first,Battle Construction LLC,Construction company,Peoria,AZ,'+1 480-479-2250,,5,29,Research First,65,No website in source · manual check required,https://www.google.com/search?q=Battle%20Construction%20LLC%20Peoria%20AZ%20%2B1%20480-479-2250,,Source record only; verify immediately before outreach.,2026-07,Phoenix trades call list · Jul 2026,,,,
