lead_id,priority_score,normalized_need_score,qualification,qualification_reason,confidence_score,review_opportunity_score,profile_gap_score,website_opportunity_score,business_value_score,reachability_score,business_name,niche,google_primary_category,category_fit,category_assessment,phone,phone_e164,line_type,carrier_name,cell_status,phone_queue,potential_owner_name,owner_source_url,owner_confidence,contact_window_estimate,city,market_city,state,street,postal_code,google_rating,google_reviews,google_rank_in_source_query,source_query_result_count,source_query_median_reviews,review_gap_summary,website,website_domain,website_opportunity,website_audited,website_audit_status,website_final_url,website_http_status,website_has_mobile_viewport,website_uses_wordpress,entry_offer,core_offer,website_offer,public_demand_proxy,profile_claimed_signal,profile_gaps,generic_listing_risk,likely_chain_or_franchise,google_maps_url,primary_place_id,source_query,scraped_at,legacy_priority_rank,duplicate_listing_count,alternate_business_names,alternate_place_ids,alternate_phones,overall_rank,call_ready_rank,call_queue_rank
phone:+16023390398,70,67,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,21,8,13,13,10,Cornerstone Landscape,landscaper,Landscape designer,Yes,Target service category,(602) 339-0398,+16023390398,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Glendale,Glendale,Arizona,7207 N 67th Ave,85303,4.7,35,5,7,64,35 reviews vs 64 median in this Google result set,http://azcornerstone.com/,azcornerstone.com,Technical issues found,Yes,Needs technical review,http://azcornerstone.com/,202,No,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Cornerstone%20Landscape&query_place_id=ChIJKR_AHOMTK4cRQQ9mVM-cHqg,ChIJKR_AHOMTK4cRQQ9mVM-cHqg,landscaper Glendale AZ,2026-07-10T03:39:37.600Z,0,1,,,,17,17,11
phone:+14802263912,70,67,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,15,8,20,13,9,Jay's Lawns LLC,landscaper,Landscaper,Yes,Target service category,(480) 226-3912,+14802263912,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Scottsdale,Scottsdale,Arizona,6565 Thomas Rd,85251,5,28,6,7,28,28 reviews vs 28 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Jay's%20Lawns%20LLC&query_place_id=ChIJJY0AYOULK4cRCwFu0iVv4w4,ChIJJY0AYOULK4cRCwFu0iVv4w4,landscaper Scottsdale AZ,2026-07-10T03:40:01.946Z,0,1,,,,18,18,12
phone:+14802859363,69,66,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,20,8,13,13,10,Bobby B's Landscaping,landscaper,Landscaper,Yes,Target service category,(480) 285-9363,+14802859363,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Scottsdale,Scottsdale,Arizona,7520 E North Ln,85258,5,15,4,7,28,15 reviews vs 28 median in this Google result set,https://bobbybservices.com/,bobbybservices.com,Technical issues found,Yes,Needs technical review,https://bobbybservices.com/,202,No,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Bobby%20B's%20Landscaping&query_place_id=ChIJAXkiztR1K4cRg9BvDvXH97I,ChIJAXkiztR1K4cRg9BvDvXH97I,landscaper Scottsdale AZ,2026-07-10T03:40:01.915Z,0,1,,,,19,19,13
phone:+16023268936,69,64,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,17,10,13,15,9,Grand Canyon Refrigeration,hvac contractor,Air conditioning contractor,Yes,Target service category,(602) 326-8936,+16023268936,mobile,T-Mobile USA,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Peoria,Arizona,,,5,125,1,7,206,125 reviews vs 206 median in this Google result set,https://grandcanyonref.com/,grandcanyonref.com,Technical issues found,Yes,Needs technical review,https://grandcanyonref.com/,200,Yes,Yes,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Moderate lifetime review footprint,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Grand%20Canyon%20Refrigeration&query_place_id=ChIJl8M5gvxHK4cRn16zhi1yOM0,ChIJl8M5gvxHK4cRn16zhi1yOM0,HVAC contractor Peoria AZ,2026-07-10T03:39:40.196Z,0,1,,,,24,24,14
phone:+14802669495,67,64,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,28,10,2,13,9,Tempe Landscaping,landscaper,Landscaper,Yes,Target service category,(480) 266-9495,+14802669495,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Tempe,Arizona,,,5,13,6,7,59,13 reviews vs 59 median in this Google result set,http://tempelandscaping.net/,tempelandscaping.net,Basic technical checks pass,Yes,Basic checks pass,https://tempelandscaping.net/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Tempe%20Landscaping&query_place_id=ChIJDVOeAD0JK4cRx8GhTUk4abk,ChIJDVOeAD0JK4cRx8GhTUk4abk,landscaper Tempe AZ,2026-07-10T03:40:08.450Z,0,2,Bell De Mar Landscaping,ChIJdzE4djEHK4cRS6AAc9NxMMQ,,30,30,15
phone:+14803266774,66,63,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,28,8,2,13,10,"Arizona Home and Landscape, Inc.",landscaper,Landscaper,Yes,Target service category,(480) 326-6774,+14803266774,mobile,AT&T Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Chandler,Chandler,Arizona,3830 S Heath Way,85248,5,12,5,7,51,12 reviews vs 51 median in this Google result set,http://azhlandscapeinc.com/,azhlandscapeinc.com,Basic technical checks pass,Yes,Basic checks pass,https://azhlandscapeinc.com/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Arizona%20Home%20and%20Landscape%2C%20Inc.&query_place_id=ChIJtR33KXUAK4cRXoTSsCCvAW4,ChIJtR33KXUAK4cRXoTSsCCvAW4,landscaper Chandler AZ,2026-07-10T03:39:21.047Z,0,1,,,,32,32,16
phone:+14802286693,66,63,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,19,6,13,13,10,AZNativeScapes,landscaper,Landscaper,Yes,Target service category,(480) 228-6693,+14802286693,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Chandler,Chandler,Arizona,1344 N Chandler Cir,85225,5,30,6,7,51,30 reviews vs 51 median in this Google result set,http://aznativescapes.com/,aznativescapes.com,Technical issues found,Yes,Needs technical review,https://aznativescapes.com/index.html,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=AZNativeScapes&query_place_id=ChIJM2DHWfKpK4cR_ff9p67mkzo,ChIJM2DHWfKpK4cR_ff9p67mkzo,landscaper Chandler AZ,2026-07-10T03:39:20.731Z,0,1,,,,33,33,17
phone:+16027990864,66,61,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,25,10,2,15,9,WHAT Plumbing,plumber,Plumber,Yes,Target service category,(602) 799-0864,+16027990864,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Gilbert,Arizona,,,5,110,8,7,500,110 reviews vs 500 median in this Google result set,https://whatplumbing.com/,whatplumbing.com,Basic technical checks pass,Yes,Basic checks pass,https://whatplumbing.com/,200,Yes,Yes,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Moderate lifetime review footprint,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=WHAT%20Plumbing&query_place_id=ChIJfSTAClAU2QURLaOt-Od3BnM,ChIJfSTAClAU2QURLaOt-Od3BnM,plumber Gilbert AZ,2026-07-10T03:39:52.812Z,0,1,,,,35,35,18
phone:+14802721317,65,60,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,27,6,2,15,10,Scottsdale AC Pros - AC Repair and AC Replacement,hvac contractor,HVAC contractor,Yes,Target service category,(480) 272-1317,+14802721317,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Scottsdale,Scottsdale,Arizona,9719 E Presidio Rd,85260,5,33,6,7,371,33 reviews vs 371 median in this Google result set,https://scottsdaleacpros.com/?utm_medium=organic&utm_source=gmb&utm_campaign=main,scottsdaleacpros.com,Basic technical checks pass,Yes,Basic checks pass,https://scottsdaleacpros.com/?utm_medium=organic&utm_source=gmb&utm_campaign=main,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible,No,No,https://www.google.com/maps/search/?api=1&query=Scottsdale%20AC%20Pros%20-%20AC%20Repair%20and%20AC%20Replacement&query_place_id=ChIJmUmeEp8BrgAR2q1HvqjrT8A,ChIJmUmeEp8BrgAR2q1HvqjrT8A,HVAC contractor Scottsdale AZ,2026-07-10T03:40:21.362Z,0,1,,,,36,36,19
phone:+19289413112,65,60,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,23,10,2,15,10,Milo's Plumbing,plumber,Plumber,Yes,Target service category,(928) 941-3112,+19289413112,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Yuma,Yuma,Arizona,11130 S Shadow Ave,85365,4.6,82,4,7,265,82 reviews vs 265 median in this Google result set,https://www.milosplumbingllc.com/,milosplumbingllc.com,Basic technical checks pass,Yes,Basic checks pass,https://www.milosplumbingllc.com/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Milo's%20Plumbing&query_place_id=ChIJVVVVVaX31oARSxOvoLFcw0Q,ChIJVVVVVaX31oARSxOvoLFcw0Q,plumber Yuma AZ,2026-07-10T03:38:45.361Z,0,1,,,,38,38,20
phone:+16234879500,65,60,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,27,6,2,15,10,Sav-On Plumbing,plumber,Plumber,Yes,Target service category,(623) 487-9500,+16234879500,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Glendale,Glendale,Arizona,7110 N 45th Ave,85301,4.8,140,3,7,1121,140 reviews vs 1121 median in this Google result set,https://sav-onplumbing.com/,sav-onplumbing.com,Basic technical checks pass,Yes,Basic checks pass,https://sav-onplumbing.com/,200,Yes,Yes,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Moderate lifetime review footprint,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Sav-On%20Plumbing&query_place_id=ChIJpR2HFbJuK4cRUWgVUMPEIDQ,ChIJpR2HFbJuK4cRUWgVUMPEIDQ,plumber Glendale AZ,2026-07-10T03:39:44.246Z,0,1,,,,39,39,21
phone:+19283100419,64,61,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,26,8,2,13,10,Stix and Stones Landscaping,landscaper,Landscaper,Yes,Target service category,(928) 310-0419,+19283100419,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Flagstaff,Flagstaff,Arizona,906 W Elizabeth Dr,86001,4.7,15,5,7,48,15 reviews vs 48 median in this Google result set,http://stixandstoneslandscaping.com/,stixandstoneslandscaping.com,Basic technical checks pass,Yes,Basic checks pass,https://stixandstoneslandscaping.com/,200,Yes,Yes,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Stix%20and%20Stones%20Landscaping&query_place_id=ChIJ3QKCe8yPLYcRw3oKzGBJvo4,ChIJ3QKCe8yPLYcRw3oKzGBJvo4,landscaper Flagstaff AZ,2026-07-10T03:39:05.795Z,0,1,,,,41,41,22
phone:+16025290025,62,57,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,24,6,2,15,10,POP Plumbing LLC - Glendale,plumber,Plumber,Yes,Target service category,(602) 529-0025,+16025290025,mobile,T-Mobile USA,CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Glendale,Glendale,Arizona,8355 W Midway Ave,85305,5,169,5,7,1121,169 reviews vs 1121 median in this Google result set,http://popplumbing.co/,popplumbing.co,Basic technical checks pass,Yes,Basic checks pass,https://popplumbing.co/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Moderate lifetime review footprint,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=POP%20Plumbing%20LLC%20-%20Glendale&query_place_id=ChIJVYRFo937wokRsT7sW0w7CWA,ChIJVYRFo937wokRsT7sW0w7CWA,plumber Glendale AZ,2026-07-10T03:39:34.597Z,0,1,,,,43,43,23
phone:+15208816000,62,57,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,26,4,2,15,10,Tucson Plumbing,plumber,Plumber,Yes,Target service category,(520) 881-6000,+15208816000,mobile,Onvoy,CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Tucson,Tucson,Arizona,3322 N Richey Blvd,85716,4.7,300,1,7,1822,300 reviews vs 1822 median in this Google result set,https://tucsonplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,tucsonplumbing.com,Basic technical checks pass,Yes,Basic checks pass,https://tucsonplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB,200,Yes,Yes,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Moderate lifetime review footprint,Likely claimed,description not visible,No,No,https://www.google.com/maps/search/?api=1&query=Tucson%20Plumbing&query_place_id=ChIJT4D3bvBx1oYRVN0iG9n_KVk,ChIJT4D3bvBx1oYRVN0iG9n_KVk,plumber Tucson AZ,2026-07-10T03:40:00.987Z,0,1,,,,44,44,24
phone:+16236923947,62,59,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,23,10,2,13,9,Paradise Pavers and Landscaping,landscaper,Landscape designer,Yes,Target service category,(623) 692-3947,+16236923947,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Surprise,Arizona,,,5,45,4,7,107,45 reviews vs 107 median in this Google result set,https://paradisepaversaz.com/,paradisepaversaz.com,Basic technical checks pass,Yes,Basic checks pass,https://paradisepaversaz.com/,200,Yes,Yes,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Paradise%20Pavers%20and%20Landscaping&query_place_id=ChIJ57sqWV1TBaMR2YQxAUq6zxs,ChIJ57sqWV1TBaMR2YQxAUq6zxs,landscaper Surprise AZ,2026-07-10T03:40:02.930Z,0,1,,,,46,46,25
phone:+19286079501,60,57,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,24,6,2,13,10,Yilmaz Landscaping,landscaper,Landscaper,Yes,Target service category,(928) 607-9501,+19286079501,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Flagstaff,Flagstaff,Arizona,101 Historic Rte 66,86001,5,15,7,7,48,15 reviews vs 48 median in this Google result set,https://yilmazlandscaping.com/,yilmazlandscaping.com,Basic technical checks pass,Yes,Basic checks pass,https://yilmazlandscaping.com/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Yilmaz%20Landscaping&query_place_id=ChIJ1aQkuZxjH2ARlQ8hCAEY_0c,ChIJ1aQkuZxjH2ARlQ8hCAEY_0c,landscaper Flagstaff AZ,2026-07-10T03:39:04.660Z,0,1,,,,49,49,26
