lead_id,priority_score,normalized_need_score,qualification,qualification_reason,confidence_score,review_opportunity_score,profile_gap_score,website_opportunity_score,business_value_score,reachability_score,business_name,niche,google_primary_category,category_fit,category_assessment,phone,phone_e164,line_type,carrier_name,cell_status,phone_queue,potential_owner_name,owner_source_url,owner_confidence,contact_window_estimate,city,market_city,state,street,postal_code,google_rating,google_reviews,google_rank_in_source_query,source_query_result_count,source_query_median_reviews,review_gap_summary,website,website_domain,website_opportunity,website_audited,website_audit_status,website_final_url,website_http_status,website_has_mobile_viewport,website_uses_wordpress,entry_offer,core_offer,website_offer,public_demand_proxy,profile_claimed_signal,profile_gaps,generic_listing_risk,likely_chain_or_franchise,google_maps_url,primary_place_id,source_query,scraped_at,legacy_priority_rank,duplicate_listing_count,alternate_business_names,alternate_place_ids,alternate_phones,overall_rank,call_ready_rank,call_queue_rank
phone:+16024127458,80,75,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,29,8,13,15,10,Shelton Pool Service and Repair,pool service,Pool cleaning service,Yes,Target service category,(602) 412-7458,+16024127458,mobile,AT&T Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Peoria,Peoria,Arizona,8380 W Emile Zola Ave #5463,85381,4.8,20,1,8,95.5,20 reviews vs 96 median in this Google result set,https://www.facebook.com/SheltonPoolServiceAndRepair,facebook.com,Technical issues found,Yes,Needs technical review,https://www.facebook.com/SheltonPoolServiceAndRepair,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Now: Usually a little busy,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Shelton%20Pool%20Service%20and%20Repair&query_place_id=ChIJraY92CpDK4cRJBBlaDKkvlA,ChIJraY92CpDK4cRJBBlaDKkvlA,pool service Peoria AZ,2026-07-08T07:28:30.719Z,92,1,,,,13,13,11
phone:+19285813973,80,80,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,28,10,18,10,9,Mr. Peabody's Floor Care Yuma,carpet cleaning,Carpet cleaning service,Yes,Target service category,(928) 581-3973,+19285813973,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 10:00 AM-2:00 PM (estimate),,Yuma,Arizona,,,5,7,7,10,37.5,7 reviews vs 38 median in this Google result set,http://mrpeabodysfloorcare.com/,mrpeabodysfloorcare.com,Unreachable in technical check,Yes,Unreachable,,,,,14-day review capture trial; $97/mo if retained,$399-$599/mo GBP/local visibility,"$1,500-$3,500 WordPress build",Not established,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Mr.%20Peabody's%20Floor%20Care%20Yuma&query_place_id=ChIJy6EdHh__nwYRxqQgxNag_rA,ChIJy6EdHh__nwYRxqQgxNag_rA,tile and grout cleaning Yuma AZ,2026-07-08T07:27:13.759Z,64,1,,,,14,14,12
phone:+14806941655,79,74,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,28,8,13,15,10,Dave's Sprinkler Repair,irrigation repair,Lawn sprinkler system contractor,Yes,Target service category,(480) 694-1655,+14806941655,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Chandler,Chandler,Arizona,1873 W Springfield Way,85286,5,9,3,10,85,9 reviews vs 85 median in this Google result set,https://eastvalleysprinklers.com/,eastvalleysprinklers.com,Technical issues found,Yes,Needs technical review,https://eastvalleysprinklers.com/,202,No,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Dave's%20Sprinkler%20Repair&query_place_id=ChIJ73hvMuM3KocRga1gnSWPKOg,ChIJ73hvMuM3KocRga1gnSWPKOg,irrigation repair Chandler AZ,2026-07-08T07:23:54.612Z,185,1,,,,16,16,13
phone:+16232029391,78,73,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,24,6,18,15,10,Protege Pool Services Glendale Location,pool service,Pool cleaning service,Yes,Target service category,(623) 202-9391,+16232029391,mobile,"T-Mobile USA, Inc.",CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Glendale,Glendale,Arizona,15415 N 61st Ave,85306,4,12,7,8,27,12 reviews vs 27 median in this Google result set,http://www.protegepools.webs.com/,protegepools.webs.com,Unreachable in technical check,Yes,Unreachable,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Now: Usually not too busy,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Protege%20Pool%20Services%20Glendale%20Location&query_place_id=ChIJM2ziEiVpK4cRWLDpMukUED0,ChIJM2ziEiVpK4cRWLDpMukUED0,pool service Glendale AZ,2026-07-08T07:28:02.006Z,27,2,Protege Pool Services,ChIJVzAx4YhpK4cRMfkdqnoSsAs,,18,18,14
phone:+16232388007,78,75,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,28,10,13,13,9,Sonoran Sun Appliance Repair,appliance repair,Appliance repair service,Yes,Target service category,(623) 238-8007,+16232388007,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Surprise,Arizona,,,5,14,8,10,143.5,14 reviews vs 144 median in this Google result set,http://www.sonoransun.net/appliance-repair,sonoransun.net,Technical issues found,Yes,Needs technical review,https://sonoransun.net/appliance-repair,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Sonoran%20Sun%20Appliance%20Repair&query_place_id=ChIJa4TJKa5FK4cRRBDLBruCN_I,ChIJa4TJKa5FK4cRRBDLBruCN_I,appliance repair Surprise AZ,2026-07-08T07:26:07.139Z,53,1,,,,19,19,15
phone:+16023990787,78,75,Call ready,Callable local service business with a measurable review/profile/website opportunity,90,23,10,20,13,8,Sidewinder Garage Door Service LLC,garage door repair,Garage door supplier,Yes,Target service category,(602) 399-0787,+16023990787,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Peoria,Arizona,,,5,26,9,10,79,26 reviews vs 79 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Sidewinder%20Garage%20Door%20Service%20LLC&query_place_id=ChIJ5yY2m62ef4IRZFEMsIaNqEM,ChIJ5yY2m62ef4IRZFEMsIaNqEM,garage door repair Peoria AZ,2026-07-08T07:26:10.024Z,57,1,,,,20,20,16
phone:+19285307443,77,72,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,24,10,13,15,10,ASM Irrigation,irrigation repair,Repair service,Yes,Target service category,(928) 530-7443,+19285307443,mobile,"T-Mobile USA, Inc.",CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Surprise,Surprise,Arizona,12213 W Bell Rd #116,85378,5,10,5,8,35.5,10 reviews vs 36 median in this Google result set,https://asmirrigation2002.square.site/,asmirrigation2002.square.site,Technical issues found,Yes,Needs technical review,https://asmirrigation2002.square.site/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=ASM%20Irrigation&query_place_id=ChIJLQAC4gNDK4cR72evHYFHdto,ChIJLQAC4gNDK4cR72evHYFHdto,irrigation repair Surprise AZ,2026-07-08T07:28:41.035Z,186,1,,,,21,21,17
phone:+14806358605,77,77,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,29,10,13,10,10,Arizona All Star Cleaning,carpet cleaning,Carpet cleaning service,Yes,Target service category,(480) 635-8605,+14806358605,mobile,T-Mobile USA,CELL,Mobile verified,,,Not found,Tue-Thu 10:00 AM-2:00 PM (estimate),Gilbert,Gilbert,Arizona,2487 S Gilbert Rd ste106-491,85295,4.6,33,8,10,144,33 reviews vs 144 median in this Google result set,https://gilbertcarpetclean.com/,gilbertcarpetclean.com,Technical issues found,Yes,Needs technical review,https://gilbertcarpetclean.com/,200,No,No,14-day review capture trial; $97/mo if retained,$399-$599/mo GBP/local visibility,"$1,500-$3,500 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Arizona%20All%20Star%20Cleaning&query_place_id=ChIJVwUGecCrK4cRoujl8XNdci8,ChIJVwUGecCrK4cRoujl8XNdci8,carpet cleaning Gilbert AZ,2026-07-08T07:25:54.410Z,334,1,,,,22,22,18
phone:+16028805350,77,72,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,21,14,13,15,9,Rainmaker Sprinkler Pros Az,irrigation repair,Lawn sprinkler system contractor,Yes,Target service category,(602) 880-5350,+16028805350,mobile,T-Mobile USA,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Phoenix,Arizona,,,4.7,63,17,9,102,63 reviews vs 102 median in this Google result set,http://www.rainmakersprinklerprosaz.com/,rainmakersprinklerprosaz.com,Technical issues found,Yes,Needs technical review,http://www.rainmakersprinklerprosaz.com/,200,No,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Rainmaker%20Sprinkler%20Pros%20Az&query_place_id=ChIJkcy-cxwTK4cRrFbFDO20Z8Q,ChIJkcy-cxwTK4cRrFbFDO20Z8Q,irrigation repair Phoenix AZ,2026-07-08T07:28:24.705Z,115,1,,,,23,23,19
phone:+16024861901,76,73,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,25,10,13,13,10,Hometech Appliance Repair,appliance repair,Appliance repair service,Yes,Target service category,(602) 486-1901,+16024861901,mobile,AT&T Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Chandler,Chandler,Arizona,451 W Ranch Rd,85225,4.6,21,6,10,52,21 reviews vs 52 median in this Google result set,http://hometechappliancerepair.com/,hometechappliancerepair.com,Technical issues found,Yes,Needs technical review,https://hometechappliancerepair.com/,200,Yes,Yes,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Hometech%20Appliance%20Repair&query_place_id=ChIJ5fZU7GIBK4cRITRF0aso87w,ChIJ5fZU7GIBK4cRITRF0aso87w,appliance repair Chandler AZ,2026-07-08T07:22:33.925Z,94,1,,,,25,25,20
phone:+16026387678,76,71,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,25,8,13,15,10,Blue Parrot Pool Care,pool service,Pool cleaning service,Yes,Target service category,(602) 638-7678,+16026387678,mobile,"T-Mobile USA, Inc.",CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Peoria,Peoria,Arizona,22427 N 78th Ln,85383,4.7,30,8,8,95.5,30 reviews vs 96 median in this Google result set,https://blueparrotpools.com/,blueparrotpools.com,Technical issues found,Yes,Needs technical review,https://blueparrotpools.com/,202,No,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Blue%20Parrot%20Pool%20Care&query_place_id=ChIJwf4Lf6DLvkIRaUvFI0gUUUA,ChIJwf4Lf6DLvkIRaUvFI0gUUUA,pool service Peoria AZ,2026-07-08T07:28:30.269Z,289,1,,,,26,26,21
phone:+16234145493,76,71,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,27,6,13,15,10,PlantWise Botanical Pest Control,pest control,Pest control service,Yes,Target service category,(623) 414-5493,+16234145493,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Peoria,Peoria,Arizona,13120 W Lariat Ln,85383,5,35,5,10,292,35 reviews vs 292 median in this Google result set,https://plantwisepest.com/,plantwisepest.com,Technical issues found,Yes,Needs technical review,https://plantwisepest.com/,202,No,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible,No,No,https://www.google.com/maps/search/?api=1&query=PlantWise%20Botanical%20Pest%20Control&query_place_id=ChIJf8pbBiucdqMRx_ANiBs5ha8,ChIJf8pbBiucdqMRx_ANiBs5ha8,pest control Peoria AZ,2026-07-08T07:26:41.630Z,294,1,,,,27,27,22
phone:+16028476278,76,71,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,27,6,13,15,10,Smart Pest Defense,pest control,Pest control service,Yes,Target service category,(602) 847-6278,+16028476278,mobile,"T-Mobile USA, Inc.",CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Chandler,Chandler,Arizona,3130 N Arizona Ave Ste 113,85225,5,60,16,9,1136,60 reviews vs 1136 median in this Google result set,https://smartpestdefense.com/,smartpestdefense.com,Technical issues found,Yes,Needs technical review,https://smartpestdefense.com/,202,No,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible,No,No,https://www.google.com/maps/search/?api=1&query=Smart%20Pest%20Defense&query_place_id=ChIJbYp-G_BifQERHrQ0nhYnhvk,ChIJbYp-G_BifQERHrQ0nhYnhvk,pest control Chandler AZ,2026-07-08T07:28:00.471Z,319,1,,,,28,28,23
phone:+19284265253,76,73,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,24,12,13,13,9,Lake Appliance Repair,appliance repair,Appliance repair service,Yes,Target service category,(928) 426-5253,+19284265253,mobile,"Onvoy, LLC",CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Flagstaff,Arizona,,,4.1,9,5,10,23.5,9 reviews vs 24 median in this Google result set,https://lakeappliancerepair.com/locations/az/flagstaff/,lakeappliancerepair.com,Technical issues found,Yes,Needs technical review,https://lakeappliancerepair.com/locations/az/flagstaff/,202,No,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; fewer than 10 images,No,No,https://www.google.com/maps/search/?api=1&query=Lake%20Appliance%20Repair&query_place_id=ChIJuZv94gMawwIRnojIM1Zr_OY,ChIJuZv94gMawwIRnojIM1Zr_OY,appliance repair Flagstaff AZ,2026-07-08T07:28:04.039Z,128,1,,,,30,30,24
phone:+16026800435,76,71,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,20,14,13,15,9,Famous Pools LLC,pool service,Pool cleaning service,Yes,Target service category,(602) 680-0435,+16026800435,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Glendale,Glendale,Arizona,5845 W Libby St,85308,5,14,8,8,27,14 reviews vs 27 median in this Google result set,https://famouspoolsaz.com/,famouspoolsaz.com,Technical issues found,Yes,Needs technical review,https://www.famouspoolsaz.com/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Famous%20Pools%20LLC&query_place_id=ChIJd_MitPZpK4cR4zZxjLo2euY,ChIJd_MitPZpK4cR4zZxjLo2euY,pool service Glendale AZ,2026-07-08T07:27:58.347Z,190,2,Famous Pools,ChIJMYWJImhvK4cRD7A38uJhPVU,,31,31,25
phone:+14802990537,76,73,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,19,10,20,13,9,My Neighbors Appliance Repair,appliance repair,Appliance repair service,Yes,Target service category,(480) 299-0537,+14802990537,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Phoenix,Phoenix,Arizona,3334 W Wilshire Dr Ste 30,85009,4.8,130,9,10,259,130 reviews vs 259 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Moderate lifetime review footprint,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=My%20Neighbors%20Appliance%20Repair&query_place_id=ChIJ52xMLAMTK4cRt3gRgermqFY,ChIJ52xMLAMTK4cRt3gRgermqFY,appliance repair Phoenix AZ,2026-07-08T07:27:27.819Z,166,1,,,,32,32,26
